ORD - Perspective Options,,,,,,,,
,,,,,,,,
"ORD v2 note: perspective_code is a free string, not a locked enum. Well-known Oasis/OED values are gul, il, ri. The list below is illustrative of possible perspectives, not exhaustive or fixed.",,,,,,,,
,,,,,,,,
Perspective,ResultsPerspective,,,,,,,
0,Ground-up,,currently in Oasis,,,,,
1,Gross,,,,,,,
2,Net of all reinsurance,,priorities for development,,,,,
3,FAC reinsurance,,,,,,,
4,QS reinsurance,,,,,,,
5,SS reinsurance,,,,,,,
6,PR reinsurance,,,,,,,
7,CAT XL reinsurance,,,,,,,
8,Client loss,,,,,,,
9,Overlimit loss,,,,,,,
10,Reinsurance Loss,,,,,,,
11,Net of all Fac,,,,,,,
12,"Net of Fac, PR, QS and SS?",,,,,,,
,,,,,,,,
